Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
2002-08-17,Blackburn,Sunderland,0,0,D,0,0,D,15,7,5,3,14,11,9,1,1,2,0,0
2002-08-17,Charlton,Chelsea,2,3,A,2,1,H,5,21,5,12,10,12,3,6,0,3,1,0
2002-08-17,Everton,Tottenham,2,2,D,1,0,H,13,10,9,5,18,4,10,5,1,1,0,0
2002-08-17,Fulham,Bolton,4,1,H,3,1,H,13,3,6,1,16,12,7,4,1,2,0,0
2002-08-17,Leeds,Man City,3,0,H,2,0,H,13,18,8,10,13,13,2,7,1,1,0,0
2002-08-17,Man United,West Brom,1,0,H,0,0,D,20,6,13,5,9,12,9,1,1,1,0,1
2002-08-17,Southampton,Middlesbrough,0,0,D,0,0,D,12,11,5,5,11,14,3,4,0,0,0,0
2002-08-18,Arsenal,Birmingham,2,0,H,2,0,H,15,7,7,1,6,11,9,2,0,1,0,1
2002-08-18,Aston Villa,Liverpool,0,1,A,0,0,D,11,12,5,6,9,5,6,8,2,2,0,0
2002-08-19,Newcastle,West Ham,4,0,H,0,0,D,13,7,10,4,7,9,7,1,1,2,0,0
2002-08-23,Chelsea,Man United,2,2,D,2,1,H,11,9,5,7,13,9,3,3,3,2,0,0
2002-08-24,Birmingham,Blackburn,0,1,A,0,1,A,15,13,10,9,10,17,6,4,1,2,0,0
2002-08-24,Bolton,Charlton,1,2,A,1,1,D,15,8,9,4,9,11,4,6,1,1,0,0
2002-08-24,Liverpool,Southampton,3,0,H,1,0,H,16,7,9,1,11,8,5,8,0,1,0,0
2002-08-24,Man City,Newcastle,1,0,H,1,0,H,20,9,12,6,12,14,6,8,1,1,0,0
2002-08-24,Middlesbrough,Fulham,2,2,D,1,0,H,6,10,3,4,18,7,8,11,4,2,0,0
2002-08-24,Sunderland,Everton,0,1,A,0,1,A,13,11,3,5,10,15,10,4,1,0,0,0
2002-08-24,Tottenham,Aston Villa,1,0,H,1,0,H,8,18,3,8,20,15,2,5,2,0,0,0
2002-08-24,West Brom,Leeds,1,3,A,0,1,A,12,11,2,4,9,11,7,3,1,1,0,0
2002-08-24,West Ham,Arsenal,2,2,D,1,0,H,8,9,4,5,18,14,4,4,2,5,0,0
2002-08-27,Arsenal,West Brom,5,2,H,3,0,H,10,8,8,6,9,9,1,1,3,2,0,0
2002-08-27,Charlton,Tottenham,0,1,A,0,1,A,10,7,5,1,9,23,6,9,1,2,0,0
2002-08-28,Aston Villa,Man City,1,0,H,0,0,D,11,7,6,1,13,11,5,4,1,3,0,0
2002-08-28,Blackburn,Liverpool,2,2,D,1,1,D,7,5,4,3,17,10,5,2,3,1,0,0
2002-08-28,Everton,Birmingham,1,1,D,0,0,D,11,5,4,2,18,12,7,4,0,3,1,0
2002-08-28,Leeds,Sunderland,0,1,A,0,0,D,20,9,9,4,13,11,8,1,2,0,0,0
2002-08-28,Southampton,Chelsea,1,1,D,0,0,D,12,10,4,3,16,11,5,6,2,1,0,0
2002-08-31,Birmingham,Leeds,2,1,H,1,0,H,9,8,5,6,14,16,2,5,3,3,0,0
2002-08-31,Man City,Everton,3,1,H,2,1,H,7,14,6,8,12,11,7,6,1,0,1,0
2002-08-31,Middlesbrough,Blackburn,1,0,H,0,0,D,7,10,3,7,19,16,8,6,3,3,0,0
2002-08-31,Sunderland,Man United,1,1,D,0,1,A,12,20,5,10,13,16,6,8,1,2,0,1
2002-08-31,Tottenham,Southampton,2,1,H,1,1,D,18,15,8,8,16,13,12,6,3,1,0,1
2002-08-31,West Brom,Fulham,1,0,H,0,0,D,8,6,5,1,17,16,5,7,4,3,0,0
2002-08-31,West Ham,Charlton,0,2,A,0,2,A,9,5,4,3,11,15,8,6,3,1,0,0
2002-09-01,Bolton,Aston Villa,1,0,H,0,0,D,13,12,6,5,9,11,4,5,2,3,0,0
2002-09-01,Chelsea,Arsenal,1,1,D,1,0,H,8,8,2,5,20,16,6,2,5,2,0,1
2002-09-02,Liverpool,Newcastle,2,2,D,0,0,D,22,11,11,6,7,25,12,3,1,2,0,0
2002-09-03,Man United,Middlesbrough,1,0,H,1,0,H,7,5,1,3,13,12,4,6,1,2,0,0
2002-09-10,Arsenal,Man City,2,1,H,2,1,H,13,5,5,4,16,14,7,6,1,2,0,1
2002-09-10,Middlesbrough,Sunderland,3,0,H,2,0,H,9,8,7,6,16,12,6,8,3,3,0,0
2002-09-11,Aston Villa,Charlton,2,0,H,0,0,D,12,8,5,2,16,16,6,2,0,1,0,0
2002-09-11,Blackburn,Chelsea,2,3,A,2,1,H,11,14,6,9,15,16,9,4,2,3,0,0
2002-09-11,Fulham,Tottenham,3,2,H,0,2,A,13,7,8,4,8,11,9,6,0,1,0,0
2002-09-11,Liverpool,Birmingham,2,2,D,1,0,H,12,6,10,3,6,10,1,2,0,1,0,0
2002-09-11,Man United,Bolton,0,1,A,0,0,D,23,10,14,8,10,11,9,6,1,2,0,0
2002-09-11,Newcastle,Leeds,0,2,A,0,1,A,22,14,11,6,15,12,10,7,3,2,0,0
2002-09-11,Southampton,Everton,1,0,H,0,0,D,11,18,7,10,13,19,4,13,3,3,0,0
2002-09-11,West Ham,West Brom,0,1,A,0,1,A,5,6,3,5,11,15,8,4,1,0,0,0
2002-09-14,Bolton,Liverpool,2,3,A,0,1,A,7,12,5,8,10,9,7,4,2,2,0,0
2002-09-14,Charlton,Arsenal,0,3,A,0,1,A,9,10,3,8,8,13,1,6,0,3,0,0
2002-09-14,Chelsea,Newcastle,3,0,H,2,0,H,7,5,5,0,9,9,2,4,1,4,0,0
2002-09-14,Everton,Middlesbrough,2,1,H,1,1,D,13,10,8,5,18,12,10,4,2,1,0,0
2002-09-14,Leeds,Man United,1,0,H,0,0,D,8,6,2,5,15,12,4,7,2,1,0,0
2002-09-14,Sunderland,Fulham,0,3,A,0,1,A,8,5,5,4,12,13,11,6,2,2,0,0
2002-09-14,West Brom,Southampton,1,0,H,0,0,D,11,10,7,5,14,14,0,7,2,1,0,1
2002-09-15,Man City,Blackburn,2,2,D,0,1,A,15,12,7,8,13,13,15,5,3,3,1,0
2002-09-15,Tottenham,West Ham,3,2,H,0,0,D,12,11,3,1,16,16,5,6,2,2,0,1
2002-09-16,Birmingham,Aston Villa,3,0,H,1,0,H,12,8,5,1,18,13,9,6,3,2,0,0
2002-09-21,Arsenal,Bolton,2,1,H,1,0,H,14,8,9,3,12,11,8,1,1,3,0,1
2002-09-21,Liverpool,West Brom,2,0,H,0,0,D,23,5,14,2,8,11,9,2,2,2,0,1
2002-09-21,Man United,Tottenham,1,0,H,0,0,D,16,10,9,5,11,8,10,5,1,1,0,0
2002-09-21,Middlesbrough,Birmingham,1,0,H,1,0,H,9,12,4,3,22,13,6,3,3,4,0,0
2002-09-21,Newcastle,Sunderland,2,0,H,2,0,H,11,8,6,4,8,15,8,3,2,4,0,0
2002-09-21,Southampton,Charlton,0,0,D,0,0,D,13,6,5,5,24,14,5,3,2,1,0,0
2002-09-21,West Ham,Man City,0,0,D,0,0,D,9,8,5,6,12,6,8,4,2,0,0,0
2002-09-22,Aston Villa,Everton,3,2,H,1,0,H,12,14,8,7,13,15,5,5,0,1,0,0
2002-09-22,Blackburn,Leeds,1,0,H,1,0,H,11,7,7,5,24,14,7,2,1,2,0,0
2002-09-23,Fulham,Chelsea,0,0,D,0,0,D,8,11,3,4,16,15,5,3,1,0,0,0
2002-09-28,Birmingham,Newcastle,0,2,A,0,1,A,11,13,5,6,18,9,5,10,3,0,0,0
2002-09-28,Bolton,Southampton,1,1,D,0,0,D,19,10,10,6,5,16,9,7,1,0,0,0
2002-09-28,Charlton,Man United,1,3,A,1,0,H,7,13,3,7,12,8,3,6,2,3,0,0
2002-09-28,Chelsea,West Ham,2,3,A,1,1,D,12,16,9,11,17,7,5,7,1,4,0,0
2002-09-28,Everton,Fulham,2,0,H,2,0,H,15,12,9,6,13,18,8,4,1,3,0,0
